"","ID","nombre","direccion","latitude","longitude","altitud","libres"
"1","AL","Alcazaba","Plaza La AlcazabaMálaga",36.7224312,-4.4165168,14.149522,51
"2","MA","Pz. de la Marina","Plaza De La MarinaMálaga",36.7174149,-4.4200468,3.109754,15
"3","CA","Camas","Calle Camas -  Málaga",36.7202072,-4.4244981,7.589293,61
"4","PA","El Palo","Calle Alonso Carrillo De AlbornozMálaga",36.721035,-4.3607192,8.069582,58
"5","AN","Av. de Andalucía","Avenida De Andalucía -  Málaga",36.7173271,-4.427712,7.358632,189
"6","TE","Tejón y Rodriguez","Calle Tejón Y RodriguezMálaga",36.7235985,-4.4214821,10.485368,65
